Scenario,Case ID,Settlement ID,Variance (INR),Expected Outcome,Phase 5 Outcome,Phase 6 AI Recommendation,Phase 6 Verified Outcome,Phase 5 Match,Phase 6 Match,AI Helped,Verifier Corrected AI,Conflicts Count,Missing Evidence Count,Phase 5 Latency (ms),Phase 6 Total Latency (ms),Phase 6 LLM Latency (ms),Phase 6 Verifier Latency (ms)
VAR-001_REFUND_VARIANCE,CASE-001,setl_scen_001_9984,-2000.00,RESOLVED,RESOLVED,hyp_ai_1_refund,RESOLVED,PASS,PASS,YES,NO,0,0,0.45,1.12,0.03,0.12
VAR-002_SAME_AMOUNT_DECOY,CASE-002,setl_scen_002_8398,-2500.00,RESOLVED,RESOLVED,hyp_ai_real_refund,RESOLVED,PASS,PASS,YES,NO,1,0,0.26,0.54,0.03,0.07
VAR-003_PARTIAL_EXPLANATION,CASE-003,setl_scen_003_7992,-5000.00,PARTIALLY_RESOLVED,PARTIALLY_RESOLVED,hyp_ai_partial_refund,PARTIALLY_RESOLVED,PASS,PASS,YES,NO,0,1,0.21,0.48,0.03,0.07
VAR-004_MULTIPLE_EVENT_EXPLANATION,CASE-004,setl_scen_004_2582,-1000.00,RESOLVED,RESOLVED,hyp_ai_composite,RESOLVED,PASS,PASS,YES,NO,0,0,0.33,0.92,0.04,0.14
VAR-005_UPI_LATE_SUCCESS,CASE-005,setl_scen_005_6761,0.00,RESOLVED,RESOLVED,hyp_ai_upi_late_success,RESOLVED,PASS,PASS,YES,NO,0,0,0.36,0.71,0.04,0.11
VAR-006_UPI_DEBIT_REVERSAL,CASE-006,N/A,0.00,RESOLVED,RESOLVED,hyp_ai_upi_reversal,RESOLVED,PASS,PASS,YES,NO,0,0,0.31,0.52,0.03,0.04
VAR-007_DELAYED_BANK_CREDIT,CASE-007,setl_scen_007_3955,0.00,VALID_DELAYED_CREDIT,VALID_DELAYED_CREDIT,hyp_ai_delayed_credit,VALID_DELAYED_CREDIT,PASS,PASS,YES,NO,0,0,0.14,0.64,0.03,0.12
VAR-008_WRONG_DATE_DECOY,CASE-008,setl_scen_008_2140,4000.00,ESCALATE,ESCALATE,None,ESCALATE,PASS,PASS,YES,NO,1,1,0.15,0.34,0.02,0.06
VAR-009_WRONG_PAYMENT_DECOY,CASE-009,setl_scen_009_6585,3500.00,ESCALATE,ESCALATE,None,ESCALATE,PASS,PASS,YES,NO,1,0,0.12,0.31,0.02,0.06
VAR-010_COMPLETELY_UNEXPLAINED,CASE-010,setl_scen_010_1815,15000.00,ESCALATE,ESCALATE,None,ESCALATE,PASS,PASS,YES,NO,0,1,0.11,0.26,0.01,0.03
